name,category,food_code,scientific_name,english_name,info,samples_number,edible_part,portion,image,water,energy_kcal,energy_kj,proteins,lipids,cholesterol,available_carbohydrates,starch,soluble_sugars,alcohol,total_fiber,soluble_fiber,insoluble_fiber,sucrose,glucose,fructose,lactose,galactose,maltose,maltotriosium,raffinose,fluorine,sodium,magnesium,phosphorus,chlorine,potassium,calcium,chromium,manganese,iron,nickel,copper,zinc,selenium,iodine,total_carotenoids,alpha_carotene,beta_carotene,cryptoxanthin,lycopene,lutein,retinol,zeaxanthin,vitamin_a_retinol_equivalent,thiamine,riboflavin,niacin,pantothenic_acid,vitamin_b6,biotin,folate,vitamin_b12,vitamin_c,vitamin_d,vitamin_e,alpha_tocopherol,beta_tocopherol,gamma_tocopherol,delta_tocopherol,vitamin_k,Saturated_fatty_acids,C4:0-C10:0,C4:0_butyric_acid,C6:0_capronic_acid,C7:0_enanthic_acid,C8:0_caprylic_acid,C10:0_caprinic_acid,C12:0_lauric_acid,C13:0_tridecanoic_acid,C14:0_myristic_acid,C15:0_pentadecanoic_acid,C16:0_palmitic_acid,C17:0_heptadecanoic_acid,C18:0_stearic_acid,C20:0_arachidic_acid,C22:0_behenic_acid,C24:0_lignoceric_acid,monounsaturated_fatty_acids,C10:1_caproleic_acid,C12:1_lauroleic_acid,C13:1_tridecenoic_acid,C14:1_myristoleic_acid,C15:1_pentadecenoic_acid,C16:1 palmitoleic_acid,C17:1_heptadecenoic_acid,C18:1_oleic_acid,C20:1_eicosenoic_acid,C22:1_erucic_acid,polyunsaturated_fatty_acids,C18:2_linoleic_acid,C18:3_linolenic_acid,C20:4_arachidonic_acid,C20:5_eicosapentaenoic_acid_EPA,C22:6_docosahexaenoic_acid_DHA,polyunsaturated_saturated,alanine,cystine,aspartic_acid,glutamic_acid,phenylalanine,glycine,histidine,isoleucine,lysine,leucine,methionine,proline,arginine,serine,threonine,valine,tryptophan,tyrosine,chemical_index,limiting_amino_acid,caffeic_acid,citric_acid,phytic_acid,malic_acid,apigenin,antioxidant_activity,campferol,phytosterols,fructo-oligosaccharides,myricetin,polyphenols,quercetin,violaxanthin
"Farro perlato, crudo",Cereali e derivati,000020,Triticum dicoccon,"Spelt, grain",,0,1.0,80,https://www.alimentinutrizione.it/images/tabelle/000020.jpg,11.3,353.0,1476.0,14.6,2.4,0,69.3,60.9,2.4,0.0,6.5,0.96,5.5,0,0.0,0,0.0,0,0,0,0.0,0,10,112.0,387,0,407,35,0.0,2.0,1.9,0.0,0.39,2.6,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,31,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,3.96,2.72,5.94,28.69,5.00,4.19,2.46,4.02,3.04,7.36,2.01,9.47,4.87,4.48,2.99,5.28,1.31,2.80,68,Lisina,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
"Farro perlato, cotto, bollito",Cereali e derivati,000025,Triticum dicoccon,"Spelt, grain, boiled in water, no salt, drained","Cottura in acqua senza aggiunta di sale, scolato",3,1.0,185,https://www.alimentinutrizione.it/images/placeholder.png,57.6,178.0,744.0,6.2,1,0,37.3,33.1,0.9,0.0,2.1,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,1,23.0,71,0,50,15,0.0,0.3,0.6,0.0,0.15,0.61,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
Frumento duro,Cereali e derivati,000030,Triticum durum,"Durum wheat, grain",,0,1.0,80,https://www.alimentinutrizione.it/images/placeholder.png,11.5,332.0,1389.0,13.0,2.9,0,62.5,53.9,3.2,0.0,9.8,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,160.0,330,0,494,30,0.0,0.0,3.6,0.0,0.40,2.9,3.8,0,0,0.0,0,0.0,0,0,0,0,2,0.43,0.15,5.70,0.0,0.0,0,40,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,21.26,0,1.42,0,0,0,17.01,0,0,0,0,0,0,0,16.53,0,0,61.41,56.68,4.72,0,0.0,0.0,2.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
Frumento tenero,Cereali e derivati,000040,Triticum aestivum,"Soft wheat, grain",,0,1.0,80,https://www.alimentinutrizione.it/images/placeholder.png,12.0,336.0,1408.0,12.3,2.6,0,65.2,56.3,3.3,0.0,9.7,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,304,0,0,35,0.0,0.0,3.3,0.0,0.31,3.1,0,0,0,0.0,0,0.0,0,0,0,0,0,0.42,0.14,5.40,0.0,0.0,0,39,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23.32,0,1.23,0,0,0,11.87,0,0,0,0,0,0,0,11.87,0,0,65.06,61.78,3.27,0,0.0,0.0,2.65,3.76,2.82,5.15,31.44,4.66,4.01,2.29,3.65,2.93,6.93,1.60,10.29,4.76,4.84,3.10,4.68,1.09,3.37,65,Lisina,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
"Couscous, crudo",Cereali e derivati,000045,,"Couscous, raw","Prodotto tradizionale del Nordafrica, precotto",4,1.0,80,https://www.alimentinutrizione.it/images/placeholder.png,9.1,361.0,1509.0,13.7,1.1,0,76.5,67.1,2.7,0.0,4.5,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,10,52.0,195,0,247,24,0.0,0.9,1.9,0.0,0.31,1.4,0,0,0,0.0,0,0.0,0,0,0,0,0,0.16,0.08,3.42,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
"Couscous, cotto",Cereali e derivati,000046,,"Couscous, cooked","Prodotto tradizionale del Nordafrica. Cottura in acqua, olio e sale",4,1.0,185,https://www.alimentinutrizione.it/images/placeholder.png,55.1,179.0,747.0,3.6,1.1,0,39.7,34.9,1.3,0.0,2.7,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,96,15.0,58,0,84,10,0.0,0.3,0.5,0.0,0.08,0.39,0,0,0,0.0,0,0.0,0,0,0,0,0,0.09,0.06,1.26,0.0,0.0,0,0,0.0,0,0.0,0.13,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
Grano saraceno,Cereali e derivati,000050,Fagopyrum esculentum,"Buckwheat, grain",,0,1.0,80,https://www.alimentinutrizione.it/images/tabelle/000050.jpg,13.1,329.0,1376.0,12.4,3.3,0,61.2,0,0,0.0,10,1.72,8.35,0,0.0,0,0.0,0,0,0,0.0,0,1,0.0,330,0,450,110,0.0,0.0,4,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.60,0,4.40,0.0,0.0,0,24,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.34,0,16.84,0,2.36,2.02,0,0,37.04,0,0,0,0,0,0,0,37.04,0,0,40.07,34.34,5.72,0,0.0,0.0,1.86,4.49,2.63,9.90,18.54,4.68,6.01,2.46,3.85,5.87,6.75,2.43,3.01,9.67,4.78,3.70,5.36,0,2.86,114,Leucina,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
Mais,Cereali e derivati,000060,Zea mays,"Sweet corn, grain",,0,1.0,80,https://www.alimentinutrizione.it/images/placeholder.png,12.5,357.0,1492.0,9.2,3.8,0,75.1,66,2.5,0.0,2,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,35,120.0,256,0,287,15,0.0,0.0,2.4,0.0,0.31,2.21,15.5,0,0,0.0,0,0.0,0,0,0,0,62,0.36,0.20,1.50,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,8.99,0,3.21,0,3.21,3.21,0,0,27.92,0,0,0,0,0,0,0,27.92,0,0,53.59,45.57,8.02,0,0.0,0.0,2.88,7.83,2.22,6.51,19.78,5.23,3.77,2.91,3.88,2.84,12.70,2.11,9.57,4.67,5.16,3.72,5.24,0.68,3.82,63,Lisina,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
"Mais, dolce, in scatola, sgocciolato",Cereali e derivati,000070,Zea mays,"Sweet corn, grain, canned",,0,1.0,30,https://www.alimentinutrizione.it/images/tabelle/000070.jpg,70.3,105.0,439.0,3.4,1.3,0,20.5,13.8,5.3,0.0,1.4,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,270,0.0,79,0,220,4,0.0,0.0,0.5,0.0,0.05,0.45,0.7,0,0,0.0,0,0.0,0,0,0,0,24,0.25,0.18,0.86,0.0,0.0,0,0,0.0,7,0.0,0.5,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
"Polenta, cruda",Cereali e derivati,000075,,"Polenta, raw",Prodotto precotto,4,1.0,70,https://www.alimentinutrizione.it/images/placeholder.png,10.4,323.0,1353.0,8.0,0.7,0,72.7,62.5,0.6,0.0,6.2,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,5,15.0,74,0,34,7,0.0,0.0,0.4,0.0,0.06,0.18,0,0,0,0.0,0,0.0,0,0,0,0,11,0.24,0.07,1.85,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
